分類,場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,芝,短距離(1000-1300),良,中枠(3-6),父,サクラバクシンオー,165,14,42,0.0848,0.2545,118.9,0.0,7.22,0.1949,0.0596,1.306,A,小倉芝短距離(1000-1300)・良・中枠(3-6)で父「サクラバクシンオー」は基準比リフト1.306
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,芝,長距離(2500以上),良,内枠(1-2),父系統,ロイヤルチャージャー系,225,23,67,0.1022,0.2978,60.4,0.0,6.62,0.2284,0.0694,1.304,A,中山芝長距離(2500以上)・良・内枠(1-2)で父系統「ロイヤルチャージャー系」は基準比リフト1.304
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),父,ネオユニヴァース,193,21,50,0.1088,0.2591,90.1,0.0,6.83,0.199,0.0601,1.302,A,中山ダ中距離(1700-2000)・良・中枠(3-6)で父「ネオユニヴァース」は基準比リフト1.302
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,芝,短距離(1000-1300),良,外枠(7-8),父系統,父系統不明,159,16,36,0.1006,0.2264,85.9,0.0,8.0,0.1739,0.0525,1.302,A,京都芝短距離(1000-1300)・良・外枠(7-8)で父系統「父系統不明」は基準比リフト1.302
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,ダ,中距離(1700-2000),重不良,中枠(3-6),父系統,父系統不明,247,30,72,0.1215,0.2915,84.5,0.0,6.71,0.2243,0.0672,1.3,A,阪神ダ中距離(1700-2000)・重不良・中枠(3-6)で父系統「父系統不明」は基準比リフト1.3
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,ダ,中距離(1700-2000),良,中枠(3-6),父,マンハッタンカフェ,152,14,43,0.0921,0.2829,89.1,0.0,6.57,0.2181,0.0648,1.297,A,京都ダ中距離(1700-2000)・良・中枠(3-6)で父「マンハッタンカフェ」は基準比リフト1.297
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),父,キングカメハメハ,332,28,86,0.0843,0.259,67.0,0.0,7.03,0.1997,0.0593,1.297,A,東京ダ短中距離(1400-1600)・良・中枠(3-6)で父「キングカメハメハ」は基準比リフト1.297
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,短距離(1000-1300),良,外枠(7-8),父,サウスヴィグラス,190,11,50,0.0579,0.2632,25.6,0.0,7.23,0.2034,0.0598,1.294,A,中山ダ短距離(1000-1300)・良・外枠(7-8)で父「サウスヴィグラス」は基準比リフト1.294
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,芝,中長距離(2100-2400),良,中枠(3-6),父,ディープインパクト,163,16,55,0.0982,0.3374,97.7,0.0,4.72,0.2609,0.0765,1.293,A,阪神芝中長距離(2100-2400)・良・中枠(3-6)で父「ディープインパクト」は基準比リフト1.293
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),母父,クロフネ,225,27,66,0.12,0.2933,113.8,0.0,6.17,0.2273,0.066,1.29,A,阪神ダ中距離(1700-2000)・良・中枠(3-6)で母父「クロフネ」は基準比リフト1.29
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,芝,短中距離(1400-1600),良,内枠(1-2),母父,サンデーサイレンス,303,20,80,0.066,0.264,44.8,0.0,7.5,0.2047,0.0593,1.29,A,東京芝短中距離(1400-1600)・良・内枠(1-2)で母父「サンデーサイレンス」は基準比リフト1.29
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,芝,短中距離(1400-1600),稍,中枠(3-6),父系統,父系統不明,166,12,45,0.0723,0.2711,58.4,0.0,7.3,0.2103,0.0608,1.289,A,京都芝短中距離(1400-1600)・稍・中枠(3-6)で父系統「父系統不明」は基準比リフト1.289
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,ダ,短中距離(1400-1600),良,内枠(1-2),父系統,父系統不明,247,22,66,0.0891,0.2672,56.8,0.0,7.73,0.2074,0.0598,1.288,A,京都ダ短中距離(1400-1600)・良・内枠(1-2)で父系統「父系統不明」は基準比リフト1.288
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,外枠(7-8),母父,サンデーサイレンス,235,24,71,0.1021,0.3021,69.7,0.0,6.4,0.2351,0.067,1.285,A,阪神ダ中距離(1700-2000)・良・外枠(7-8)で母父「サンデーサイレンス」は基準比リフト1.285
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),父,シンボリクリスエス,151,12,42,0.0795,0.2781,66.0,0.0,7.46,0.2165,0.0616,1.285,A,中山芝中距離(1700-2000)・良・中枠(3-6)で父「シンボリクリスエス」は基準比リフト1.285
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,ダ,短中距離(1400-1600),重不良,中枠(3-6),父系統,父系統不明,193,14,44,0.0725,0.228,37.2,0.0,7.03,0.1774,0.0506,1.285,A,阪神ダ短中距離(1400-1600)・重不良・中枠(3-6)で父系統「父系統不明」は基準比リフト1.285
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,ダ,短距離(1000-1300),稍,中枠(3-6),母父系統,ニアークティック系,253,27,67,0.1067,0.2648,199.0,0.0,6.89,0.2062,0.0586,1.284,A,小倉ダ短距離(1000-1300)・稍・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.284
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,ダ,中距離(1700-2000),稍,中枠(3-6),父系統,父系統不明,443,45,117,0.1016,0.2641,153.6,0.0,7.46,0.2059,0.0582,1.283,A,小倉ダ中距離(1700-2000)・稍・中枠(3-6)で父系統「父系統不明」は基準比リフト1.283
