分類,場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,短距離(1000-1300),良,中枠(3-6),父,サウスヴィグラス,328,21,75,0.064,0.2287,59.8,0.0,7.63,0.1927,0.036,1.187,A,中山ダ短距離(1000-1300)・良・中枠(3-6)で父「サウスヴィグラス」は基準比リフト1.187
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,ダ,中距離(1700-2000),良,中枠(3-6),母父,ブライアンズタイム,232,18,60,0.0776,0.2586,99.9,0.0,7.57,0.2181,0.0405,1.186,A,京都ダ中距離(1700-2000)・良・中枠(3-6)で母父「ブライアンズタイム」は基準比リフト1.186
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,芝,短中距離(1400-1600),良,外枠(7-8),母父系統,ナスルーラ系,610,43,138,0.0705,0.2262,94.0,0.0,7.96,0.1907,0.0355,1.186,A,阪神芝短中距離(1400-1600)・良・外枠(7-8)で母父系統「ナスルーラ系」は基準比リフト1.186
競馬場×距離帯×馬場×枠,函館,小回り・持続型,ダ,中距離(1700-2000),良,内枠(1-2),父系統,父系統不明,150,15,48,0.1,0.32,83.6,0.0,6.51,0.2701,0.0499,1.185,A,函館ダ中距離(1700-2000)・良・内枠(1-2)で父系統「父系統不明」は基準比リフト1.185
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,芝,短距離(1000-1300),良,外枠(7-8),母父系統,ロイヤルチャージャー系,393,34,81,0.0865,0.2061,62.6,0.0,8.07,0.1739,0.0322,1.185,A,京都芝短距離(1000-1300)・良・外枠(7-8)で母父系統「ロイヤルチャージャー系」は基準比リフト1.185
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,ダ,短距離(1000-1300),稍,中枠(3-6),父系統,父系統不明,360,33,84,0.0917,0.2333,83.2,0.0,7.64,0.1971,0.0362,1.184,A,阪神ダ短距離(1000-1300)・稍・中枠(3-6)で父系統「父系統不明」は基準比リフト1.184
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,中距離(1700-2000),良,内枠(1-2),母父,サンデーサイレンス,224,16,49,0.0714,0.2188,45.4,0.0,7.89,0.1848,0.034,1.184,A,中山ダ中距離(1700-2000)・良・内枠(1-2)で母父「サンデーサイレンス」は基準比リフト1.184
競馬場×距離帯×馬場×枠,福島,小回り・機動型,芝,中距離(1700-2000),稍,中枠(3-6),母父系統,ネイティヴダンサー系,152,11,33,0.0724,0.2171,75.7,0.0,7.34,0.1834,0.0337,1.184,A,福島芝中距離(1700-2000)・稍・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.184
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,ダ,短距離(1000-1300),不,中枠(3-6),母父系統,ニアークティック系,314,27,80,0.086,0.2548,81.0,0.0,7.79,0.2154,0.0394,1.183,A,中山ダ短距離(1000-1300)・不・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.183
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,ダ,短中距離(1400-1600),稍,内枠(1-2),母父系統,ネイティヴダンサー系,157,10,36,0.0637,0.2293,71.0,0.0,7.59,0.1939,0.0354,1.183,A,京都ダ短中距離(1400-1600)・稍・内枠(1-2)で母父系統「ネイティヴダンサー系」は基準比リフト1.183
